names,pvals,pvals_adj,logfoldchanges,pts,pts_rest,celltype
Atf3,2.5133154158209364e-118,3.2796970951166204e-115,1.9975265,0.5151898734177215,0.1958467597565342,0
Cdkn1a,2.3069868233716037e-86,1.6858536910470332e-83,1.553604,0.5189873417721519,0.23827425707124955,0
Hspa1b,4.113276244421805e-77,4.696590231833873e-74,1.7576767,0.5072010018785222,0.23620066048120775,1
Ms4a4b,0.0,0.0,4.1557474,0.9302158273381295,0.17270788912579957,2
Gm2682,1.8975362983992478e-281,8.666522658863966e-278,4.0734544,0.6913669064748201,0.08650624428876028,2
Klf3,2.819384875235408e-162,3.029843663863275e-159,2.958336,0.5733812949640288,0.13143466341760585,2
S1pr1,1.189159355792887e-124,8.689900908392101e-122,2.687015,0.518705035971223,0.13539445628997868,2
Ighm,1.9973787252157086e-69,5.288422018980548e-67,1.7168192,0.5014388489208633,0.21976850441669205,2
Ccl5,2.1132895984879833e-207,1.9303843837388484e-203,3.5018342,0.6725043782837128,0.15394775462283533,3
Cxcr3,6.014172928240264e-153,2.1974585045204277e-149,3.0855849,0.5998248686514887,0.130173172879366,3
Nkg7,3.385813005918659e-128,8.836488257875426e-125,3.4916155,0.5140105078809106,0.08776049310243617,3
Nup98,1.4335571564430678e-90,9.254295297193783e-89,2.690271,0.6247787610619469,0.23190366662156678,5
Lrba,8.103557201726085e-90,5.194522333976626e-88,2.7169626,0.6247787610619469,0.21431470707617373,5
Ankrd17,1.0022066128058149e-82,5.963945475358121e-81,2.4739509,0.6194690265486725,0.24313354079285618,5
Pan3,1.0203989310786371e-82,6.052489633725851e-81,2.4868708,0.6176991150442478,0.2382627519956704,5
Sipa1l1,1.0394186720364607e-81,6.0092214302006646e-80,2.5926187,0.6106194690265486,0.22513868218103097,5
Vps13b,5.9813424296142975e-81,3.404147814536561e-79,2.514372,0.6106194690265486,0.23082126911108106,5
Fbxl17,5.542261932367697e-75,2.9779877424242785e-73,2.4946547,0.5893805309734513,0.22825057502367743,5
Fbxo11,8.9607052378187e-73,4.637482265997445e-71,2.5760026,0.5787610619469027,0.21539710458665945,5
Diaph2,8.879548135250073e-66,4.096476385931403e-64,2.6997313,0.536283185840708,0.17467189825463403,5
Exoc6b,2.720363406663311e-62,1.1832933113412388e-60,2.5639584,0.5327433628318584,0.1831957786497091,5
Smyd3,1.9326774742169218e-61,8.249552517866576e-60,2.500034,0.536283185840708,0.19821404410769855,5
Tcf12,8.742846235548571e-61,3.714489718075275e-59,2.4405465,0.5415929203539823,0.20037883912867,5
Zswim6,5.2514078063461835e-59,2.1462632933811728e-57,2.7366734,0.5079646017699115,0.15721823839805169,5
Mbd5,2.343050419666799e-58,9.449268899976325e-57,2.6339045,0.5132743362831859,0.17007170883506967,5
Dennd1b,2.3120098187520747e-57,9.222294187506911e-56,2.2265804,0.5433628318584071,0.22662697875794885,5
Glg1,1.2373297322449565e-54,4.622653758360554e-53,2.0896268,0.5451327433628319,0.24110404546069544,5
Cmip,2.3978601227932465e-54,8.885701132517206e-53,2.270847,0.5274336283185841,0.2098498173454201,5
Tex2,2.6323296731624445e-54,9.734824048381518e-53,2.5539577,0.5008849557522124,0.17156000541198754,5
Usp9x,7.902704693756409e-54,2.9049197595620894e-52,2.2125685,0.5327433628318584,0.21959139493979163,5
Arid1b,4.1490369701994936e-53,1.4979991385093785e-51,2.284082,0.5185840707964602,0.2021377350832093,5
Zeb1,6.946754619104291e-53,2.4884364732630648e-51,2.2393086,0.5238938053097345,0.2183736977404952,5
Sorl1,7.626161421310309e-53,2.726464638080588e-51,2.0488853,0.5451327433628319,0.24583953456907048,5
Vti1a,3.00840208467938e-51,1.0428936942126678e-49,2.1540327,0.5185840707964602,0.2278446759572453,5
Ssh2,3.2651715586868265e-51,1.129761727379728e-49,2.105346,0.5292035398230088,0.24096874577188473,5
Lrch3,7.293594024590368e-50,2.4404151874586345e-48,2.0320978,0.5238938053097345,0.23853335137329185,5
Arl5b,2.2308064874128325e-49,7.356426663997299e-48,2.3019702,0.5026548672566372,0.19726694628602354,5
